iter	Passed	Remaining
1088	43622	16463
1089	43660	16422
1090	43703	16383
1091	43742	16343
1092	43782	16303
1093	43822	16263
1094	43862	16223
1095	43903	16183
1096	43942	16143
1097	43983	16103
1098	44021	16062
1099	44060	16022
1100	44101	15982
1101	44141	15942
1102	44184	15903
1103	44228	15864
1104	44267	15824
1105	44307	15784
1106	44349	15744
1107	44391	15705
1108	44433	15666
1109	44473	15625
1110	44513	15585
1111	44552	15545
1112	44595	15506
1113	44637	15466
1114	44677	15426
1115	44717	15386
1116	44760	15347
1117	44805	15309
1118	44848	15270
1119	44887	15229
1120	44927	15189
1121	44967	15149
1122	45011	15110
1123	45054	15071
1124	45098	15032
1125	45137	14992
1126	45177	14952
1127	45214	14911
1128	45252	14870
1129	45290	14829
1130	45330	14789
1131	45370	14749
1132	45413	14710
1133	45457	14671
1134	45498	14631
1135	45541	14592
1136	45585	14553
1137	45624	14513
1138	45663	14472
1139	45703	14432
1140	45742	14392
1141	45782	14352
1142	45822	14312
1143	45865	14272
1144	45909	14234
1145	45948	14193
1146	45989	14153
1147	46030	14113
1148	46070	14073
1149	46110	14033
1150	46148	13993
1151	46188	13952
1152	46228	13912
1153	46266	13871
1154	46305	13831
1155	46346	13791
1156	46389	13752
1157	46430	13712
1158	46471	13672
1159	46511	13632
1160	46550	13592
1161	46589	13551
1162	46628	13511
1163	46667	13471
1164	46705	13430
1165	46743	13389
1166	46782	13349
1167	46823	13309
1168	46866	13270
1169	46909	13230
1170	46949	13190
1171	46989	13150
1172	47033	13111
1173	47075	13072
1174	47115	13031
1175	47155	12991
1176	47195	12951
1177	47240	12912
1178	47279	12872
1179	47322	12833
1180	47365	12793
1181	47407	12754
1182	47446	12713
1183	47489	12674
1184	47528	12634
1185	47573	12595
1186	47614	12555
1187	47653	12515
1188	47691	12474
1189	47728	12433
1190	47769	12393
1191	47807	12352
1192	47845	12312
1193	47884	12271
1194	47923	12231
1195	47962	12191
1196	48001	12150
1197	48041	12110
1198	48084	12071
1199	48127	12031
1200	48165	11991
1201	48205	11950
1202	48246	11911
1203	48287	11871
1204	48328	11831
1205	48372	11792
1206	48415	11752
1207	48455	11712
1208	48493	11672
1209	48534	11632
1210	48573	11591
1211	48612	11551
1212	48654	11511
1213	48694	11471
1214	48733	11431
1215	48778	11392
1216	48821	11352
1217	48863	11313
1218	48903	11273
1219	48944	11233
1220	48986	11193
1221	49032	11154
1222	49075	11115
1223	49113	11074
1224	49154	11034
1225	49195	10994
1226	49236	10954
1227	49277	10914
1228	49316	10874
1229	49358	10834
1230	49399	10794
1231	49442	10755
1232	49486	10716
1233	49525	10675
1234	49569	10636
1235	49610	10596
1236	49650	10556
1237	49690	10516
1238	49729	10475
1239	49770	10435
1240	49808	10395
1241	49851	10355
1242	49892	10315
1243	49932	10275
1244	49972	10235
1245	50010	10194
1246	50050	10154
1247	50090	10114
1248	50131	10074
1249	50172	10034
1250	50216	9995
1251	50260	9955
1252	50301	9915
1253	50343	9876
1254	50385	9836
1255	50426	9796
1256	50466	9756
1257	50507	9716
1258	50545	9675
1259	50584	9635
1260	50626	9595
1261	50666	9555
1262	50707	9515
1263	50746	9474
1264	50784	9434
1265	50824	9394
1266	50866	9354
1267	50909	9314
1268	50948	9274
1269	50989	9234
1270	51033	9194
1271	51075	9155
1272	51115	9114
1273	51154	9074
1274	51195	9034
1275	51235	8994
1276	51275	8954
1277	51315	8914
1278	51356	8873
1279	51397	8833
1280	51440	8794
1281	51483	8754
1282	51524	8714
1283	51565	8674
1284	51607	8634
1285	51646	8594
1286	51686	8554
1287	51724	8513
1288	51762	8473
1289	51804	8433
1290	51848	8393
1291	51890	8353
1292	51930	8313
1293	51967	8272
1294	52006	8232
1295	52045	8192
1296	52086	8152
1297	52125	8111
1298	52164	8071
1299	52205	8031
1300	52247	7991
1301	52290	7951
1302	52331	7911
1303	52374	7872
1304	52413	7831
1305	52453	7791
1306	52493	7751
1307	52535	7711
1308	52575	7671
1309	52616	7631
1310	52659	7591
1311	52699	7551
1312	52740	7511
1313	52779	7471
1314	52818	7430
1315	52862	7391
1316	52903	7351
1317	52942	7310
1318	52982	7270
1319	53025	7230
1320	53068	7190
1321	53108	7150
1322	53151	7110
1323	53196	7071
1324	53240	7031
1325	53281	6991
1326	53324	6951
1327	53367	6912
1328	53409	6872
1329	53450	6832
1330	53490	6791
1331	53531	6751
1332	53575	6711
1333	53615	6671
1334	53654	6631
1335	53693	6591
